QUERY,L,LAT,SUBJECT_CODES_1,SUBJECT_CODES_2,SUBJECT_CODES_3,SUBJECT_CODES_4,SUBJECT_CODES_5,SUBJECT_CODES_6,SORT_BY,LOC,C,RAD,LQ,PAGE,LNG,SEN_COURSES,DEGREE_REQUIRED,FUNDING,FULLTIME,HAS_VACANCIES,PARTTIME,CAN_SPONSOR_VISA,QUALIFICATIONS
,1,50.95139,17,22,41,,,,2,"Southampton SO16, UK",England,50,Southampton SO16,,-1.4353963,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
"",1,,,,,,,,,,,,"Shaw Road, Bromley BR1 5NW",,,,,,,,,,
,1,52.48624299999999,00,,,,,,2,"Birmingham, UK",England,50,Birmingham,3,-1.890401,,,,,,,,
,1,51.5073509,00,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
"",1,,,,,,,,,,,,B38 9LA ,,,,,,,,,,
,1,53.700621,C1,,,,,,2,"Oaklands Dr, Rawtenstall, Rossendale BB4 6SA, UK",England,50,"Oaklands Drive, Rawtenstall, Rossendale BB4 6SA",,-2.3019179,,show_all_courses,,true,true,false,,"PgdePgceWithQts,Other"
,1,51.5073509,00,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
,1,50.9982014,00,,,,,,2,"Priory Way, Haywards Heath RH16 3LT, UK",England,50,RH16 3LT ,,-0.0944957,,,,,,,,
,1,53.002668,C6,,,,,,2,"Stoke-on-Trent, UK",England,50,Stoke-on-Trent,,-2.179404,,,,,,,,
,1,53.002668,C6,,,,,,2,"Stoke-on-Trent, UK",England,50,Stoke-on-Trent,,-2.179404,,,,,,,,
,1,52.4908328,14,,,,,,2,"4 Cuin Rd, Smethwick B66 3JD, UK",England,50,"4 Cuin Road, Smethwick B66 3TU",,-1.9546112,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
"",1,,,,,,,,,,,,B38 9LA ,,,,,,,,,,
Sheffield Hallam University,3,,C6,,,,,,,,,,,,,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,51.580559,14,41,,,,,2,"Harrow, UK",England,50,Harrow,,-0.341995,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,51.4817014,03,,,,,,2,"Barnfield Gardens, Plumstead Common Rd, London SE18 3QY, UK",England,50,Se18 3qy ,,0.0720323,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
"UCL, University College London",3,,00,03,07,,,,,,,,,,,,,,,,,,
,1,51.54615,C8,,,,,,2,"Durham Rd, Dagenham RM10 8AN, UK",England,50,RM10 8AN,,0.1643679,,show_all_courses,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
"",1,,,,,,,,,,,,"Glenthorne Road, Portsmouth PO3 5DL",,,,,,,,,,
,1,51.43062639999999,,,,,,,2,"Shaw Rd, Bromley BR1 5NW, UK",England,50,"Shaw Road, Bromley BR1 5NW",,0.0075488,,,,,,,,
,1,56.462018,C8,,,,,,2,"Dundee, UK",Scotland,50,Dundee,,-2.970721,,,,,,,,
brighton,3,,,,,,,,,,,,"",,,,,,,,,,
,2,,00,,,,,,,,,,,,,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,50.9982014,00,,,,,,2,"Priory Way, Haywards Heath RH16 3LT, UK",England,50,RH16 3LT ,,-0.0944957,,,,,,,,
,1,53.0957419,00,,,,,,2,"Cranford Mews, Alsager, Stoke-on-Trent ST7 2YJ, UK",England,50,"Cranford Mews, Alsager, Stoke-on-Trent ST7 2YJ",,-2.3229248,,,,,,,,
brighton,3,,,,,,,,,,,,,,,,,,,,,,
,1,51.5073509,C6,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
,1,53.7464135,C6,,,,,,2,"Accrington BB5, UK",England,50,Accrington BB5,,-2.3532378,,,,,,,,
,2,,C1,F1,,,,,,,,,,3,,,two_two,,true,true,,true,"QtsOnly,PgdePgceWithQts,Other"
,1,50.7855508,C1,F1,F3,,,,2,"Napier Rd, Southsea, Portsmouth, Southsea PO5, UK",England,50,"Napier Road, Southsea, Portsmouth, Southsea PO5 2RB",,-1.0798252,,,,,,,,
"",1,,,,,,,,,,,,B38 9LA ,,,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,52.0982885,00,W1,,,,,2,"Tompions End, Ickwell, Biggleswade SG18 9EN, UK",England,50,"Tompions End, Ickwell, Biggleswade SG18 9EN",,-0.3195075,,,,,,,,
,1,54.536241,00,01,02,,,,2,"Guisborough TS14, UK",England,50,Guisborough TS14,2,-1.049544,,,,,,,,
,2,,15,,,,,,,,,,,2,,,show_all_courses,8,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
hull scitt,3,,,,,,,,,,,,"",,,,,,,,,,
,1,51.5657787,00,03,06,,,,2,"42 Moray Rd, Finsbury Park, London N4 3LG, UK",England,50,"42 Moray Road, London N4 3LG",,-0.1128478,,,,,,,,
"",1,,,,,,,,,,,,London,,,,,,,,,,
,1,52.6775873,00,,,,,,2,"Telford, UK",England,50,Telford,,-2.4672611,,show_all_courses,8,,true,true,,"QtsOnly,PgdePgceWithQts,Other"
,1,51.5073509,,,,,,,2,"London, UK",England,50,London,,-0.1277583,,,,,,,,
,1,51.5657787,00,03,06,,,,2,"42 Moray Rd, Finsbury Park, London N4 3LG, UK",England,50,"42 Moray Road, London N4 3LG",,-0.1128478,,,,,,,,
,1,51.6116604,G1,,,,,,2,"Clarendon Rd, London N18 2AH, UK",England,50,"Clarendon Road, London N18 2AH",,-0.0625844,,,,,,,,
,1,51.54615,C8,,,,,,2,"Durham Rd, Dagenham RM10 8AN, UK",England,50,RM10 8AN,,0.1643679,,show_all_courses,,true,true,true,,"QtsOnly,PgdePgceWithQts,Other"
